mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,spectral_centroids,spectral_bandwidth,spectral_contrast,spectral_rolloff,meanfreq,maxfreq,label
-372.4710999,152.6068878,0.205432579,14.79202557,3.685979605,-24.90060806,-12.66141319,-7.919866562,1.102245808,-8.090191841,-21.93603325,1.756184816,0.363233417,-13.44552231,3.944546938,-1.344330072,-11.01619434,2.473268509,-3.531113148,-8.633979797,1493.037218,1464.068712,20.82073691,2734.761083,1493.037218,3592.174441,0
-413.0787659,167.6212921,24.15075874,-4.529314995,-2.275288343,-3.794582129,0.823246658,-8.269968033,-17.10978127,-13.34993267,-3.908545017,-2.640967607,-9.803912163,-8.289973259,-9.950416565,-10.86459541,4.557178974,3.450028419,-9.885783195,-1.638780117,1467.141697,1137.48251,23.00371313,2542.400981,1467.141697,4343.788116,0
-524.7874756,152.2611847,-28.65696716,19.28927612,9.227325439,-11.09961987,11.18922424,-6.526505947,-0.999198079,2.194792986,-7.841165543,8.160270691,-3.71230793,-8.220282555,9.117912292,-2.966638088,0.286713064,11.33096027,1.776933551,1.137727261,1902.235791,1875.451731,22.17221536,4108.76181,1902.235791,3075.92329,0
-523.6328735,152.6422577,-36.17578888,8.461630821,7.344927788,-5.424273491,15.0574522,-9.777231216,-4.462216854,4.702133179,-9.258151054,5.947385311,3.603005409,-3.788448572,7.618193626,0.036642067,1.603659034,5.744648933,-4.165222645,0.503374457,1941.050796,1795.786345,20.99648121,4029.569404,1941.050796,3017.499055,0
-485.9792175,79.54828644,11.80111027,11.06151199,9.232179642,-10.73257923,-12.85957432,-5.557778358,-5.851288795,-7.700844288,-1.429040313,0.369547129,-8.130004883,-6.66211319,-0.512929797,-3.113345623,-2.909363508,-1.199224114,-2.619502783,-1.828927398,2073.744669,1573.28501,20.21442275,3707.553597,2073.744669,5637.280362,0
-494.8297424,88.3390274,2.972006083,10.15409851,31.02801323,8.495268822,-9.232117653,-5.593111515,-8.902565956,-12.52617359,-1.369130015,2.440019846,-4.514803886,-2.084549904,-1.118667841,-5.50720644,-2.311800957,-2.889851809,-8.047829628,-5.45036602,1727.457313,1594.664276,20.81504661,3492.959666,1727.457313,3372.393834,0
-328.8143616,171.9542847,16.30032539,22.84440613,-0.932471037,-12.47978973,12.19520473,-2.836569309,-0.788557231,1.622655511,-10.56279469,5.411629677,-0.051334526,-14.678092,-1.896324039,-2.934791088,-3.719897509,4.844910622,0.573114574,-0.62662667,1374.318697,1528.2147,21.46329491,2868.913517,1374.318697,4237.426296,0
-470.0851135,150.8370972,40.84077835,14.68812656,11.62195015,6.014740944,7.909161568,-0.002556487,-11.81726265,-14.88648224,-3.543554306,9.134199142,1.015547633,-7.433819294,-4.114751816,-4.048351288,4.057955265,11.54807281,-1.471355438,-8.062106133,1038.618575,1248.005241,21.65534007,1963.072311,1038.618575,3532.124146,0
-408.9644165,134.4012909,25.48176384,9.420287132,16.65076447,4.79871273,-7.343901634,-12.71851349,-6.672147274,-2.59153676,-3.81684351,-2.110181093,-5.28153801,-2.156679153,6.439227104,-2.719517708,-9.53570652,-0.694601595,-1.326657653,-5.825174809,1353.318169,1414.649655,20.90634615,2859.170603,1353.318169,3322.022748,0
-470.0975037,77.42690277,41.79105759,25.18413353,8.896509171,-6.677803993,-13.93906116,-12.65682316,-7.202435017,-9.494799614,-10.41110802,-3.875476837,-4.766435623,-7.397008419,-4.056695938,-3.250914812,-3.439744949,-2.835222483,-3.156778812,-2.746832132,1509.86161,1357.212542,20.49892451,2810.456032,1509.86161,5665.699331,0
