mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,spectral_centroids,spectral_bandwidth,spectral_contrast,spectral_rolloff,meanfreq,maxfreq,tone_results,oc_results,label
-310.2,113.6,-41.9,3.4,0,-19.7,-8,-17.7,-3.5,-6.7,-18.6,6.1,-4.3,-18.5,-3.1,-10,-11.9,-3.7,-9.3,-6.2,2099.4,1839,26,3723.9,2064.9,15566.6,0,130,#안녕-해요
-269,117.2,-76.8,10.4,-17.2,-28,11.9,-22.3,-0.5,5.5,-19.8,8.2,-4.8,-15.1,4.6,-9.9,-1.6,5.1,-4.9,10.2,2777.5,1992.6,26,4997,2760.5,12430.5,1,180,(여자)아이들-퀸카
-321.3,91.5,-37.7,1.4,-7.6,-16.8,-3,-15.1,-4.5,-10.4,-17.4,6.2,-8.7,-13.9,1.3,-12.7,-8.1,0.5,-12,-4.5,2781.4,2339.6,25.4,4983.3,2752.6,12798.4,0,150,10cm-스토커
-330.5,89.5,-47.9,4,-11.8,-22.3,1.1,-18.2,-8.6,-7.1,-12,10.2,-5,-7.9,9,-7.1,-4.2,-0.5,-11.4,0.3,2802.9,2007,25.4,4787.8,2780.7,13769,1,270,AKMU-DINOSAUR
-317,118.4,-50,9.7,-3.6,-21.5,-0.8,-21.2,-7.1,-4.1,-17.9,2.5,-9.5,-15,3,-6.8,-3.2,0,-10.6,-2.5,2327.4,2019.8,24.9,4323.2,2303.8,11414.2,1,240,AKMU-Love Lee
-341.4,99.2,-57.4,10.3,-14.4,-30.6,7.8,-11.8,-8.9,-3.5,-7.7,4.7,-13.8,-7.9,8.5,-9.5,1,3.2,-10.1,5.9,2632.2,2009.2,27.1,4679.5,2623.2,11467.8,1,260,AKMU-후라이의 꿈
-319.5,108.3,-34.9,13.2,-12.9,-14.6,6.9,-29.3,-5.9,4.4,-18.6,4.4,-4.3,-15.9,1.2,-8.8,-3.9,2.8,-11,-3.5,2167.7,2038.8,26.8,4349.1,2163.7,15249.7,0,165,DK(디셈버)-심(心)
-323.3,103.5,-16.5,10.3,-20.4,-23,-0.4,-23.6,-12,-2.1,-12.6,-2.7,-15.5,-15.5,-5,-12.9,-4.1,-2,-6.6,7,2228.4,1899,27.4,3976.7,2198.7,11816.4,1,175,FIFTY FIFTY-Cupid
-283.9,129.3,-67.1,31.2,-5,-23.1,14.2,-29.6,-8.7,6.1,-15.2,4.6,-13.4,-13.9,6.4,-14.6,-4.7,-2.3,-15.6,1.9,2793.1,2115.2,25.3,5258.3,2786.6,12332.9,1,196,IVE-Kitsch
-371,138.6,-46.5,20.3,-5.2,-24.3,2.6,-18.4,-1.3,-9.9,-24.8,6.7,-13.6,-18.1,4.4,-18.1,-10.2,1.5,-14.3,-4,2022.4,1946.3,25.8,3778,2002.9,13977.1,0,160,izi-응급실
-345.7,72.4,-35,10.6,-12.6,-16.4,13,-19.2,-13.4,5.3,-11.9,-4.8,-5.1,-13,-4.5,-7.5,-1.5,8,2.9,5.3,2663.3,2245.9,26.2,4910.1,2649.6,13278.4,0,147,M.C The Max-어디에도
-270.5,145.9,-19.4,-7.3,-1.9,-10.1,-3.6,-16,-15.9,-9.2,-13.7,-7.3,-8.8,-7.6,-6.4,-10.7,-4.2,0,-5.1,0.2,1708.6,1556.2,24.7,3183,1689.9,12030.7,0,175,MSG워너비(M.O.M)-듣고 싶을까
-406.2,74,-42.9,12.9,-8.3,-15,6.9,-16.5,-0.4,-0.9,-16.5,5.9,-5.7,-9.5,5.9,-10.6,-2.1,7.3,-6.8,2.3,2959.8,2133.3,26.3,5009,2930.3,14441.8,0,110,YB-잊을께
-317.9,109.6,-50.2,11.3,-7.6,-30,3.4,-12.5,-10,-7.9,-17.4,5.2,-6.6,-18.1,3.1,-4.1,-6.2,0.1,-9.5,-3.2,2304.7,1897.1,26.9,4286.5,2287,10181.8,0,140,김건모-서울의 달
-325,98,-67.7,5.6,2,-24.8,-2.5,-16.2,-6.2,-2.1,-17.1,0.5,-5.7,-14.9,-1.3,-10.5,-10.6,-1.3,-6.7,-4.5,2490.4,1827.1,26.8,4268.4,2469.2,11088.1,0,95,김연우-나와 같다면
-380.8,91.1,-44.4,4.2,-4.4,-14.2,-2.2,-17.8,0.9,-5.6,-17.6,8.1,-8.2,-15.5,1.4,-13.4,-7.8,0.8,-9.8,-2.9,2648.8,2269,25.9,4835.6,2640,12928.1,0,130,김필-다시 사랑한다면
-389.2,103.7,-43.1,20,-4.5,-16.2,6.1,-23.1,-2.1,0.1,-24,1.3,-6.4,-16.2,0.5,-10.1,-5.9,-0.8,-9.5,-0.1,2237.2,2277.4,25.9,4423.1,2217.7,11911.7,0,128,나윤권-나였으면
-353.9,115.8,-31.3,-10.1,-0.3,-18,-10.7,-2.1,3.6,-14.5,-17.2,10.6,0,-13.4,3.1,-0.7,-9.5,-5,-5,-5.9,2060.5,1610.1,26.9,3513.6,2055.6,11025.3,0,110,너드커넥션-좋은 밤 좋은 꿈
-346.5,73.1,-32.4,0.1,-32.4,1.1,-14.6,-4.6,-4.2,-6,-10.6,-4.7,-2.3,-11.8,-3.1,-5.2,-5.6,-1.9,3.7,-2.7,3915.2,3716.7,23.5,7460.8,3915.2,12369.9,0,147,노라조-형
-349.6,96.5,-80,20.8,-7.2,-29,9.4,-23.4,-10.4,1,-12.4,5.5,-13.1,-15.4,3.2,-8.9,0.7,-4,-12.9,8,2965.3,2029.3,27.8,5146.8,2959.9,10684.9,1,147,뉴진스-ditto
-252.8,129.5,-84.8,10.9,-22.9,-41.6,9.7,-24.7,-18.4,-6.7,-14.1,3.7,-22.5,-16.8,8,-16.2,-2.7,1.3,-15.2,7.7,2563.3,1932.8,28.6,4703.6,2562.9,13340.2,1,175,뉴진스-Hypeboy
